Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
3750-1,Bulk Bricks,Space,Life On Mars Accessories,48.0,4.99
1843-3,Castle,Royal Knights,{Catapult},48.0,8.0
10160-1,Bulk Bricks,,Black Ridge Tiles,48.0,5.99
10162-1,Bulk Bricks,,Red Ridge Tiles,48.0,6.0
2968-1,Duplo,,Animal Safari,48.0,20.0
41520-1,Mixels,Series 3,Torts,48.0,4.99
30313-1,City,Traffic,Garbage Truck,48.0,3.49
71236-1,Dimensions,Fun Pack,Superman Fun Pack,48.0,14.99
71215-1,Dimensions,Fun Pack,Jay Fun Pack,48.0,14.99
10827-1,Duplo,Mickey Mouse Clubhouse,Mickey & Friends Beach House,48.0,34.99
70628-1,The LEGO Ninjago Movie,Spinjitzu Masters,Lloyd - Spinjitzu Master,48.0,9.99
71716-1,Ninjago,Arcade Pod,Lloyd Avatar - Arcade Pod,48.0,9.99
41412-1,Friends,Play Cube Series 3,Olivia's Summer Play Cube,48.0,9.99
70685-1,Ninjago,Spinjitzu Burst,Spinjitzu Burst - Cole,48.0,9.99
70686-1,Ninjago,Spinjitzu Burst,Spinjitzu Burst - Kai,48.0,9.99
70687-1,Ninjago,Spinjitzu Burst,Spinjitzu Burst Lloyd,48.0,9.99
30359-1,City,Mountain Police,Police Water Plane,48.0,3.99
30382-1,Jurassic World,Fallen Kingdom,Baby Velociraptor Playpen,48.0,3.99
853865-1,The LEGO Movie 2,Miscellaneous,TLM2 Accessory Set 2019,48.0,12.99
10789-1,Marvel Super Heroes,Spidey and his Amazing Friends,Spider-Man's Car and Doc Ock,48.0,9.99
30646-1,Disney,Moana,Moana's Dolphin Cove,47.0,4.99
853777-1,Friends,Miscellaneous,Mia's Exploration Pod,47.0,8.99
41434-1,Friends,Play Cube Jungle Series,Andrea's Jungle Play Cube,47.0,9.99
41411-1,Friends,Play Cube Series 3,Stephanie's Summer Play Cube,47.0,9.99
71715-1,Ninjago,Arcade Pod,Jay Avatar - Arcade Pod,47.0,9.99
41407-1,Friends,Play Cube Series 2,Olivia's Shopping Play Cube,47.0,9.99
30537-1,Ninjago,Prime Empire,Merchant Avatar Jay,47.0,4.99
10730-1,Juniors,Cars 3,Lightning McQueen Speed Launcher,47.0,9.99
60135-1,City,Police,ATV Arrest,47.0,6.99
803-3,Samsonite,Model Maker,Seesaw,47.0,0.98
30349-1,City,Traffic,Sports Car,47.0,3.99
10599-1,Duplo,Batman,Batman Adventure,47.0,39.99
60126-1,City,Prison Island,Tire Escape,47.0,6.99
70741-1,Ninjago,Airjitzu,Airjitzu Cole Flyer,47.0,9.99
30303-1,DC Comics Super Heroes,Batman,The Joker Bumper Car,47.0,3.99
41087-1,Friends,Vet,Bunny & Babies,47.0,4.99
30271-1,Teenage Mutant Ninja Turtles,TV Series,Mikey's Mini-Shellraiser,47.0,4.99
2945-1,Duplo,Toolo,Space Centre,47.0,50.0
2555-1,Belville,,Belville Swing Set,47.0,9.0
2687-1,Duplo,,Harbour,47.0,52.0
2693-1,Duplo,,Fire Station,47.0,49.5
2281-1,Duplo,,Maxi Brick Runner,47.0,30.0
3584-1,Sports,Basketball,Rapid Return,47.0,8.0
8656-1,Racers,Tiny Turbos,F6 Truck,47.0,4.0
8742-1,Bionicle,Visorak,Visorak Vohtarak,47.0,9.0
8743-1,Bionicle,Visorak,Visorak Boggarak,47.0,9.0
8744-1,Bionicle,Visorak,Visorak Oohnorak,47.0,9.0
6835-1,Space,Spyrius,Saucer Scout,47.0,4.0
5133-1,Service Packs,Town,Town Accessories,47.0,3.0
6020-1,Castle,Dragon Knights,Magic Shop,47.0,4.5
6402-1,Town,Paradisa,Sidewalk Café,47.0,7.25
6519-1,Town,Race,Turbo Tiger,47.0,5.0
6526-1,Town,Racing,Red Line Racer,47.0,4.0
6474-1,Town,City,4-Wheeled Front Shovel,47.0,6.99
8921-1,Bionicle,Barraki,Pridak,47.0,9.99
8194-1,Racers,Tiny Turbos,Nitro Muscle,47.0,5.99
30009-1,Creator,Seasonal,Christmas Tree,47.0,3.5
8120-1,Racers,Tiny Turbos,Rally Sprinter,47.0,4.99
MMMB030-1,Promotional,Monthly Mini Model Build,Turkey Dinner,47.0,0.0
7157-1,HERO Factory,Rise of the Rookies,Thunder,47.0,12.99
30052-1,Star Wars,Episode I,AAT,46.0,3.99
44003-1,HERO Factory,Brain Attack,SCAROX,46.0,9.99
41021-1,Friends,Animals Series 2,Poodle's Little Palace,46.0,4.99
40056-1,Seasonal,Thanksgiving,Thanksgiving Feast,46.0,7.99
8982-1,Bionicle,Glatorian,Strakk,46.0,12.99
8727-1,Bionicle,Toa Inika,Toa Jaller,46.0,10.0
8728-1,Bionicle,Toa Inika,Toa Hahli,46.0,9.99
8731-1,Bionicle,Toa Inika,Toa Kongu,46.0,9.99
8732-1,Bionicle,Toa Inika,Toa Matoro,46.0,9.99
7579-1,Belville,Fairy-Tale,Blossom Fairy,46.0,9.99
9655-1,Dacta,Duplo,Fun Time Gears II Set,46.0,52.25
2762-1,Duplo,,Family Fun Playground,46.0,27.0
6921-1,Space,Futuron,Monorail Accessory Track,46.0,34.95
7241-1,City,Fire,Fire Car,46.0,3.99
8643-1,Racers,Tiny Turbos,Power Cruiser,46.0,4.0
3778-1,Duplo,Trains,Station,46.0,20.0
8782-1,Castle,Knights' Kingdom II,Danju,46.0,8.0
8873-1,Castle,Knights' Kingdom II,Fireball Catapult,46.0,8.0
8605-1,Bionicle,Toa Metru,Toa Matau,46.0,8.0
8602-1,Bionicle,Toa Metru,Toa Nokama,46.0,8.0
8513-1,Technic,Robo Riders,Dust,46.0,6.0
8246-1,Technic,,Hydro Racer,46.0,4.0
831-1,Basic,Supplementaries,Black Bricks Parts Pack,46.0,4.75
830-1,Basic,Supplementaries,Red Bricks Parts Pack,46.0,4.75
833-1,Basic,Supplementaries,White Bricks Parts Pack,46.0,4.75
834-1,Basic,Supplementaries,Yellow Bricks Parts Pack,46.0,4.75
832-1,Basic,Supplementaries,Blue Bricks Parts Pack,46.0,4.75
4930-1,Rock Raiders,,Rock Raiders Crew,46.0,6.0
3542-1,Sports,Hockey,Flip Shot,46.0,8.0
3085-1,Duplo,,Race Action,46.0,20.0
2732-1,Duplo,Trains,Push-Along Play Train Set,46.0,43.0
41043-1,Friends,Animals Series 4,Penguin's Playground,46.0,3.99
10569-1,Duplo,,Treasure Attack,46.0,29.99
41511-1,Mixels,Series 2,Flurr,46.0,4.99
70743-1,Ninjago,Airjitzu,Airjitzu Morro Flyer,46.0,9.99
70739-1,Ninjago,Airjitzu,Airjitzu Kai Flyer,46.0,9.99
71214-1,Dimensions,Fun Pack,Benny Fun Pack,46.0,14.99
71266-1,Dimensions,Fun Pack,Chase McCain Fun Pack,46.0,14.99
43170-1,Disney,Moana,Moana's Ocean Adventure,46.0,9.99
10928-1,Duplo,,Bakery,46.0,34.99
30464-1,Hidden Side,Promotional,El Fuego's Stunt Cannon,46.0,4.99
41414-1,Friends,Play Cube Series 3,Emma's Summer Play Cube,46.0,9.99
40311-1,Xtra,Accessories,Traffic Lights,46.0,3.99
30406-1,Unikitty,Promotional,Unikitty Roller Coaster Wagon,46.0,3.99
853744-1,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,Knightmare Batman Accessory Set ,46.0,12.99
60322-1,City,Great Vehicles,Race Car,46.0,9.99
41665-1,Friends,Cube,Stephanie's Cat Cube,46.0,9.99
30633-1,Friends,Sports,Skate Ramp,46.0,4.99
30509-1,Super Mario,Expansion Set,Yellow Yoshi's Fruit Tree,46.0,4.99
30661-1,Disney,Wish,Asha's Welcome Booth,46.0,4.99
30663-1,City,Space,Space Hoverbike,46.0,4.99
30585-1,City,Fire,Fire Patrol Vehicle,45.0,4.99
30647-1,Minecraft,Minifig-scale,The Dripstone Cavern,45.0,4.99
41666-1,Friends,Cube,Andrea's Bunny Cube,45.0,9.99
40344-1,Collectable Minifigures,Combi-pack,Summer Celebration Minifigure Pack,45.0,12.99
76172-1,Marvel Super Heroes,Spider-Man,Spider-Man and Sandman Showdown,45.0,9.99
30369-1,City,Beach,Beach Buggy,45.0,4.99
10837-1,Duplo,,Santa's Winter Holiday,45.0,29.99
41302-1,Friends,Dog Show,Puppy Pampering,45.0,4.99
41304-1,Friends,Dog Show,Puppy Treats & Tricks,45.0,4.99
221-3,Samsonite,Supplemental,1 X 2 Bricks,45.0,0.5
10810-1,Duplo,Trains,Push Train,45.0,29.99
71217-1,Dimensions,Fun Pack,Zane Fun Pack,45.0,14.99
30294-1,Ninjago,Possession,The Cowler Dragon,45.0,4.99
71223-1,Dimensions,Fun Pack,Cragger Fun Pack,45.0,14.99
70740-1,Ninjago,Airjitzu,Airjitzu Jay Flyer,45.0,9.99
850949-1,Seasonal,Christmas,Christmas Snow Hut Ornament,45.0,7.99
41533-1,Mixels,Series 4,Globert,45.0,4.99
30244-1,Star Wars,Episode III,Anakin's Jedi Interceptor,45.0,4.49
30301-1,DC Comics Super Heroes,Batman,Batwing,45.0,4.99
41502-1,Mixels,Series 1,Zorch,45.0,4.99
30302-1,Marvel Super Heroes,Ultimate Spider-Man,Spider-Man,45.0,3.99
30242-1,Star Wars,The Clone Wars,Republic Frigate,45.0,4.99
2964-1,Space,Insectoids,Space Spider,45.0,6.0
2811-1,Duplo,,Fire and Police Station,45.0,50.0
2436-1,Duplo,,Big Chief Brown Bear's Camp,45.0,35.0
3543-1,Sports,Hockey,Slammer Goalie,45.0,8.0
3541-1,Sports,Hockey,Slap Shot,45.0,8.0
3615-2,Explore,Imagination,Theatre Stories,45.0,30.0
3801-1,Mindstorms,1.5,Ultimate Accessory Set,45.0,50.0
4084-1,Explore,Imagination,Brick Bucket Small,45.0,5.0
8509-1,Technic,Robo Riders,Swamp,45.0,6.0
8502-1,Technic,Slizer,Turbo,45.0,6.0
8587-1,Bionicle,Rahkshi,Rahkshi Panrahk,45.0,9.0
8588-1,Bionicle,Rahkshi,Rahkshi Kurahk,45.0,9.0
8589-1,Bionicle,Rahkshi,Rahkshi Lerahk,45.0,9.0
8590-1,Bionicle,Rahkshi,Rahkshi Guurahk,45.0,9.0
8591-1,Bionicle,Rahkshi,Rahkshi Vorahk,45.0,9.0
8592-1,Bionicle,Rahkshi,Rahkshi Turahk,45.0,9.0
7106-1,Star Wars,Episode IV,Droid Escape,45.0,6.0
6429-1,Town,City,Blaze Responder,45.0,13.0
6401-1,Town,Paradisa,Seaside Cabana,45.0,6.75
6017-1,Castle,Lion Knights,King's Oarsmen,45.0,3.75
6236-1,Pirates,Islanders,King Kahuka,45.0,4.0
3353-1,Duplo,Thomas & Friends,Spencer and Sir Topham Hatt,45.0,29.99
852702-1,Castle,Fantasy Era,Dwarfs Battle Pack,45.0,14.99
5575-1,Duplo,,Basic Bricks - Medium,45.0,14.99
8148-1,Racers,Tiny Turbos,EZ-Roadster,45.0,4.99
6239-1,Pirates,,Cannon Battle,45.0,5.99
30161-1,DC Comics Super Heroes,Batman,Batmobile,45.0,4.0
6171-1,Duplo,,Gas Station,45.0,29.99
3930-1,Friends,Baking,Stephanie's Outdoor Bakery,45.0,6.99
6216-1,HERO Factory,Breakout,JAWBLADE,45.0,8.99
5819-1,Duplo,Cars,Tokyo Racing,45.0,29.99
8301-1,Racers,Tiny Turbos,Urban Enforcer,45.0,5.99
2516-1,Ninjago,Pilot Season,Ninja Training Outpost,45.0,4.99
MMMB033-1,Promotional,Monthly Mini Model Build,Polar Bear,45.0,0.0
7147-1,HERO Factory,Rise of the Rookies,XPlode,45.0,12.99
8192-1,Racers,Tiny Turbos,Lime Racer,44.0,5.99
DUCK75-1,Promotional,LEGO brand stores,75th Anniversary LEGO Duck on Wheels,44.0,0.0
7305-1,Pharaoh's Quest,,Scarab Attack,44.0,4.99
8304-1,Racers,Tiny Turbos,Smokin' Slickster,44.0,5.99
10500-1,Duplo,,Horse Stable,44.0,29.99
6228-1,HERO Factory,Breakout,THORNRAXX,44.0,12.99
4529-1,Marvel Super Heroes,Buildable Figures,Iron Man,44.0,14.99
4597-1,Marvel Super Heroes,Buildable Figures,Captain America,44.0,14.99
40025-1,Creator,Promotional,New York Taxi,44.0,4.99
8028-1,Star Wars,Mini Building Set,TIE Fighter,44.0,4.99
8033-1,Star Wars,The Clone Wars,General Grievous' Starfighter,44.0,3.99
30008-1,Creator,Seasonal,Snowman,44.0,3.5
40003-1,Seasonal,Christmas,Snowman,44.0,4.99
8130-1,Racers,Tiny Turbos,Terrain Crusher,44.0,4.99
7876-1,Creator,Miscellaneous,Cement Truck,44.0,3.99
8661-1,Racers,Tiny Turbos,Carbon Star,44.0,4.0
7846-1,Duplo,Castle,Dragon Tournament,44.0,30.0
8706-1,Castle,Knights' Kingdom II,Karzon,44.0,9.99
9237-1,Education,Duplo,Garage Set,44.0,26.0
1193-1,Duplo,,Water Park Tub ,44.0,20.0
6534-1,Town,Leisure,Beach Bandit,44.0,4.75
5137-1,Service Packs,Town,Town Accessories,44.0,3.5
8809-1,Castle,Knights' Kingdom II,King Mathias,44.0,10.0
8793-1,Castle,Knights' Kingdom II,Sir Rascus,44.0,9.0
8794-1,Castle,Knights' Kingdom II,Sir Santis,44.0,9.0
8795-1,Castle,Knights' Kingdom II,Lord Vladek,44.0,9.0
8604-1,Bionicle,Toa Metru,Toa Onewa,44.0,8.0
8570-1,Bionicle,Toa Nuva,Gali Nuva,44.0,8.0
8504-1,Technic,Slizer,Jet,44.0,6.0
8511-1,Technic,Robo Riders,Frost,44.0,6.0
8521-1,Technic,Slizer,Flare,44.0,6.0
8247-1,Technic,,Road Rebel,44.0,6.0
4349-1,Creator,3 in 1,Creatures Pod,44.0,3.5
4475-1,Star Wars,Episode VI,Jabba's Message,44.0,7.0
3674-1,Fabuland,,Bonnie Bunny's New House,44.0,14.75
3540-1,Sports,Hockey,Puck Passer,44.0,8.0
2989-1,Duplo,Winnie the Pooh,Pooh's Honeypot,44.0,20.0
3283-1,Duplo,Bob the Builder,Dizzy's Birdwatch,44.0,30.0
10044-1,Bulk Bricks,,Windows and Doors,44.0,7.99
10053-1,Bulk Bricks,,Black Roof Tiles,44.0,6.0
2792-1,Duplo,,Granny's House,44.0,50.0
2914-1,Action Wheelers,,Rescue Base,44.0,50.0
40069-1,Promotional,Monthly Mini Model Build,Pirate,44.0,0.0
40071-1,Promotional,Monthly Mini Model Build,Lawn Mower,44.0,0.0
60032-1,City,Arctic,Arctic Snowmobile,44.0,6.99
40094-1,Promotional,Monthly Mini Model Build,Snowplough,44.0,0.0
40097-1,Promotional,Monthly Mini Model Build,Helicopter,44.0,0.0
30204-1,Friends,Park,Wish Fountain,44.0,3.99
10826-1,Duplo,Miles from Tomorrowland,Miles' Stellosphere Hangar,44.0,34.99
30412-1,Friends,Park,Park Picnic,44.0,4.99
41401-1,Friends,Play Cube Series 1,Stephanie's Play Cube,44.0,9.99
41406-1,Friends,Play Cube Series 2,Stephanie's Shopping Play Cube,44.0,9.99
854037-1,Seasonal,Christmas,Christmas Ornament Santa,44.0,7.99
40345-1,City,Mars Exploration,Mars Exploration Minifigure Pack,44.0,12.99
41163-1,Disney,Tangled,Rapunzel's Small Tower,44.0,9.99
10947-1,Duplo,,Race Cars,44.0,49.99
30652-1,Marvel Super Heroes,Doctor Strange in the Multiverse of Madness,Doctor Strange's Interdimensional Portal,44.0,4.99
10984-1,Duplo,,Organic Garden,43.0,44.99
30360-1,City,Arctic,Arctic Ice Saw,43.0,3.99
853922-1,Friends,Accessories,Creative Rings,43.0,8.99
41437-1,Friends,Play Cube Jungle Series,Mia's Jungle Play Cube,43.0,9.99
41410-1,Friends,Play Cube Series 3,Andrea's Summer Play Cube,43.0,9.99
30463-1,Hidden Side,Promotional,Chef Enzo's Haunted Hotdogs,43.0,4.99
30554-1,Disney,Cinderella,Cinderella Mini Castle,43.0,4.99
853907-1,Seasonal,Christmas,LEGO Toy Soldier Ornament,43.0,7.99
71237-1,Dimensions,Fun Pack,Aquaman Fun Pack,43.0,14.99
70744-1,Ninjago,Airjitzu,Airjitzu Wrayth Flyer,43.0,9.99
41089-1,Friends,Vet,Little Foal,43.0,4.99
40098-1,Promotional,Monthly Mini Model Build,Dragon,43.0,0.0
41048-1,Friends,Animals Series 6,Lion Cub's Savanna,43.0,4.99
41041-1,Friends,Animals Series 4,Turtle's Little Paradise,43.0,3.99
850618-1,City,Fire,Fire Accessory Pack,43.0,14.99
001-1,Samsonite,Basic Set,Gears,43.0,4.95
2657-1,Duplo,,Service Station,43.0,42.0
8796-1,Castle,Knights' Kingdom II,King Mathias,43.0,9.0
8792-1,Castle,Knights' Kingdom II,Sir Jayko,43.0,9.0
8642-1,Racers,Tiny Turbos,Monster Crusher,43.0,4.0
5398-1,Service Packs,,Decorated Elements,43.0,4.25
6579-1,Town,Arctic,Ice Surfer,43.0,5.0
6427-1,Town,Accessories,Road Signs,43.0,6.0
6422-1,Town,Maintenance,Telephone Repair,43.0,8.75
6023-1,Castle,Lion Knights,Maiden's Cart,43.0,5.5
6034-1,Castle,Black Knights,Black Monarch's Ghost,43.0,7.25
8703-1,Castle,Knights' Kingdom II,Sir Kentis,43.0,10.0
3177-1,City,Traffic,Small Car,43.0,4.99
8195-1,Racers,Tiny Turbos,Turbo Tow,43.0,5.99
8987-1,Bionicle,Glatorian Legends,Kiina,43.0,12.99
852272-1,Castle,Fantasy Era,Skeletons Battle Pack,43.0,14.99
8149-1,Racers,Tiny Turbos,Midnight Streak,43.0,4.99
40037-1,Promotional,Monthly Mini Model Build,Hockey player,43.0,0.0
853378-1,City,Forest Fire,LEGO City Accessory Pack,43.0,14.99
3931-1,Friends,Summer,Emma's Splash Pool,43.0,5.99
44002-1,HERO Factory,Brain Attack,ROCKA,43.0,9.99
10518-1,Duplo,Construction,My First Construction Site,43.0,19.99
MMMB034-1,Promotional,Monthly Mini Model Build,Skier,43.0,0.0
MMMB026-1,Promotional,Monthly Mini Model Build,Watermelon,43.0,0.0
30040-1,Atlantis,Promotional,Octopus,42.0,3.99
7049-1,Space,Alien Conquest,Alien Striker,42.0,4.99
6201-1,HERO Factory,Breakout,TOXIC REAPA,42.0,8.99
6282-1,HERO Factory,Breakout,STRINGER,42.0,8.99
5969-1,Space,Space Police 3,Squidman Escape,42.0,5.99
40001-1,Seasonal,Christmas,Santa Claus,42.0,4.99
8905-1,Bionicle,Piraka,Thok,42.0,8.99
8901-1,Bionicle,Piraka,Hakann,42.0,8.99
8663-1,Racers,Tiny Turbos,Fat Trax,42.0,4.0
2701-1,Duplo,Trains,Train and Station Set,42.0,44.0
5339-1,Duplo,,Small Bucket with Dog,42.0,18.0
4975-1,Duplo,LEGO Ville,Farm,42.0,49.99
6022-1,Castle,Lion Knights,Horse Cart,42.0,5.0
6103-1,Castle,Accessories,Castle Mini Figures,42.0,6.75
6535-1,Town,Construction,Dumper,42.0,4.5
5217-1,Service Packs,,Black Plates Assorted,42.0,5.5
5146-1,Service Packs,,Plates Assorted Blue,42.0,5.0
5147-1,Service Packs,,Plates Assorted Red,42.0,5.0
8777-1,Castle,Knights' Kingdom II,Vladek Encounter,42.0,9.0
8791-1,Castle,Knights' Kingdom II,Sir Danju,42.0,8.99
7473-1,Dino Attack,,Steel Sprinter vs. Mutant Lizard,42.0,4.0
839-1,Basic,Supplementaries,"Red Roof Bricks Parts Pack, 33°",42.0,4.75
8571-1,Bionicle,Toa Nuva,Kopaka Nuva,42.0,8.0
7409-1,Adventurers,Orient Expedition,Secret of the Tomb,42.0,4.0
3668-1,Fabuland,,Merry-Go-Round with Ticket Booth,42.0,17.75
4791-1,Alpha Team,Mission Deep Sea,AT Sub-Surface Scooter,42.0,7.0
4654-1,4 Juniors,City,Tanker Truck,42.0,15.0
4172-1,Creator,,Tina's House,42.0,4.0
2605-1,Duplo,,Dinosaur Park,42.0,40.0
10079-1,Seasonal,Christmas,Snowman,42.0,2.5
10011-1,Bulk Bricks,,Assorted Blue Plates,42.0,4.99
10012-1,Bulk Bricks,,Assorted Yellow Plates,42.0,5.0
10148-1,Bulk Bricks,,Assorted Light Grey Plates,42.0,5.0
10149-1,Bulk Bricks,,Assorted Dark Grey Plates,42.0,5.0
10150-1,Bulk Bricks,,Assorted Brown Plates,42.0,5.0
850779-1,Legends of Chima,Accessories,Legends of Chima Minifigure Accessory Set,42.0,14.99
41042-1,Friends,Animals Series 4,Tiger's Beautiful Temple,42.0,3.99
850889-1,Castle,,Castle Dragons Accessory Set,42.0,14.99
70742-1,Ninjago,Airjitzu,Airjitzu Zane Flyer,42.0,9.99
60090-1,City,Deep Sea Explorers,Deep Sea Scuba Scooter,42.0,6.99
71258-1,Dimensions,Fun Pack,E.T. Fun Pack,42.0,11.99
30553-1,Disney,Frozen II,Elsa's Winter Throne,42.0,3.99
40372-1,City,Police,Police MF Accessory Set,42.0,12.99
10924-1,Duplo,Cars,Lightning McQueen's Race Day,42.0,29.99
30528-1,The LEGO Movie 2,Miscellaneous,Mini Master-Building MetalBeard,42.0,4.99
76220-1,DC Comics Super Heroes,Batman,Batman versus Harley Quinn,42.0,9.99
30676-1,Sonic the Hedgehog,Modern Games,Kiki's Coconut Attack,42.0,4.99
10963-1,Duplo,Spidey and His Amazing Friends,Spider-Man & Friends: Funfair Adventure,41.0,59.99
41663-1,Friends,Cube,Emma's Dalmatian Cube,41.0,9.99
41662-1,Friends,Cube,Olivia's Flamingo Cube,41.0,9.99
41435-1,Friends,Play Cube Jungle Series,Stephanie's Jungle Play Cube,41.0,9.99
60263-1,City,Deep Sea Explorers,Ocean Mini-Submarine,41.0,9.99
10862-1,Duplo,,My First Celebration,41.0,14.99
30276-1,Star Wars,Episode VII,First Order Special Forces TIE Fighter,41.0,3.99
71209-1,Dimensions,Fun Pack,Wonder Woman Fun Pack,41.0,14.99
850932-1,City,Arctic,Polar Accessory Set,41.0,14.99
2834-1,Duplo,Little Forest Friends,The Meadowsweet's' Home,41.0,40.0
4618-1,Jack Stone,,Twin Rotor Cargo,41.0,20.0
3159-1,Scala,Dolls,Celebration,41.0,5.0
3115-1,Scala,Dolls,Kitchen,41.0,13.75
6810-1,Space,Futuron,Laser Ranger,41.0,2.0
8573-1,Bionicle,Bohrok-Kal,Nuhvok-Kal,41.0,8.0
8574-1,Bionicle,Bohrok-Kal,Tahnok-Kal,41.0,8.0
8575-1,Bionicle,Bohrok-Kal,Kohrak-Kal,41.0,8.0
8576-1,Bionicle,Bohrok-Kal,Lehvak-Kal,41.0,8.0
8577-1,Bionicle,Bohrok-Kal,Pahrak-Kal,41.0,8.0
8578-1,Bionicle,Bohrok-Kal,Gahlok-Kal,41.0,8.0
8560-1,Bionicle,Bohrok,Pahrak,41.0,8.0
8561-1,Bionicle,Bohrok,Nuhvok,41.0,8.0
8562-1,Bionicle,Bohrok,Gahlok,41.0,8.0
8563-1,Bionicle,Bohrok,Tahnok,41.0,8.0
8564-1,Bionicle,Bohrok,Lehvak,41.0,8.0
8565-1,Bionicle,Bohrok,Kohrak,41.0,8.0
8566-1,Bionicle,Toa Nuva,Onua Nuva,41.0,8.0
5223-1,Technic,,Wind-Up Motor,41.0,10.0
6105-1,Castle,Accessories,Medieval Knights,41.0,6.75
8132-1,Racers,Tiny Turbos,Night Driver,41.0,4.99
2761-1,Duplo,,Pony Stables,41.0,20.0
3509-1,Explore,Imagination,Brickbuster Super Truck,41.0,20.0
8902-1,Bionicle,Piraka,Vezok,41.0,8.99
8903-1,Bionicle,Piraka,Zaktan,41.0,8.99
8904-1,Bionicle,Piraka,Avak,41.0,9.0
8900-1,Bionicle,Piraka,Reidak,41.0,8.99
852753-1,Miscellaneous,Vintage Minifigure Collection,Vintage Minifigure Collection Vol. 4,41.0,17.99
8122-1,Racers,Tiny Turbos,Desert Viper,41.0,4.99
4863-1,Duplo,Castle,Sentry & Catapult,41.0,24.99
30105-1,Friends,Promotional,Mailbox,41.0,3.99
44013-1,HERO Factory,Brain Attack,AQUAGON,41.0,9.99
41017-1,Friends,Animals Series 1,Squirrel's Tree House,41.0,4.99
40047-1,Promotional,Monthly Mini Model Build,Owl,41.0,0.0
30053-1,Star Wars,The Clone Wars,Republic Attack Cruiser,41.0,3.99
40016-1,Seasonal,Valentine's Day,Valentine Letter Set,41.0,4.99
MMMB028-1,Promotional,Monthly Mini Model Build,Boy with Backpack,41.0,0.0
7156-1,HERO Factory,Rise of the Rookies,Corroder,40.0,12.99
5947-1,Duplo,Winnie the Pooh,Winnie the Pooh's House,40.0,29.99
30152-1,City,Mining,Mining Quad,40.0,4.99
60000-1,City,Fire,Fire Motorcycle,40.0,6.99
10552-1,Duplo,,Creative Cars,40.0,19.99
10510-1,Duplo,Planes,Ripslinger's Air Race,40.0,24.99
30160-1,DC Comics Super Heroes,Batman,Batman Jetski,40.0,4.99
40054-1,Seasonal,Summer,Summer Scene,40.0,4.99
853345-1,Seasonal,Christmas,Holiday Bauble with Gold Bricks,40.0,7.99
4526-1,DC Comics Super Heroes,Buildable Figures,Batman,40.0,14.99
8694-1,Bionicle,Mistika,Krika,40.0,12.99
8704-1,Castle,Knights' Kingdom II,Sir Adric,40.0,10.0
8932-1,Bionicle,Hydruka,Morak,40.0,4.99
4987-1,Duplo,LEGO Ville,Gravel Pit,40.0,39.99
5833-1,Belville,Fairy-Tale,Rosita's Wonderful Stable,40.0,17.0
5148-1,Service Packs,,Wheels and Tyres,40.0,5.25
8568-1,Bionicle,Toa Nuva,Pohatu Nuva,40.0,8.0
6833-1,Space,M-Tron,Beacon Tracer,40.0,3.0
6836-1,Space,UFO,V-Wing Fighter,40.0,4.0
2997-1,Duplo,,Duplo Bucket,40.0,8.0
3559-1,Sports,Hockey,Red and Blue Player,40.0,4.0
4910-1,Rock Raiders,,The Hover Scout,40.0,3.0
4476-1,Star Wars,Episode VI,Jabba's Prize,40.0,7.0
2936-1,Duplo,Trains,Train Station,40.0,30.0
1625-1,Basic,Seasonal,Snowman,40.0,1.3
40061-1,Promotional,Monthly Mini Model Build,Igloo,40.0,0.0
30166-1,DC Comics Super Heroes,Batman,Robin and Redbird Cycle,40.0,4.99
10544-1,Duplo,Batman,The Joker Challenge,40.0,29.99
30282-1,The LEGO Movie,Promotional,Super Secret Police Enforcer ,40.0,4.99
30229-1,City,Construction,Repair Lift ,40.0,3.49
71238-1,Dimensions,Fun Pack,Cyberman Fun Pack,40.0,14.99
10803-1,Duplo,,Arctic,40.0,29.99
520-4,Samsonite,Supplemental,2 X 2 Plate (Flat Roof Bricks with 4 Studs),40.0,0.5
222-3,Samsonite,Supplemental,1 x 1 Bricks,40.0,0.5
30401-1,Friends,Summer,Pool Foam Slide,40.0,3.99
41405-1,Friends,Play Cube Series 2,Andrea's Shopping Play Cube,40.0,9.99
41402-1,Friends,Play Cube Series 1,Olivia's Play Cube,40.0,9.99
41404-1,Friends,Play Cube Series 1,Emma's Play Cube,40.0,9.99
853906-1,Seasonal,Birthday,LEGO Greeting Card,40.0,4.99
30407-1,Harry Potter,Philosopher's Stone,Harry's Journey to Hogwarts,40.0,3.99
41664-1,Friends,Cube,Mia's Pug Cube,40.0,9.99
10983-1,Duplo,,Organic Market,40.0,29.99
10959-1,Duplo,,Police Station & Helicopter,40.0,49.99
30653-1,DC Comics Super Heroes,Batman Returns,Batman 1992,40.0,4.99
30367-1,City,Police,Police Helicopter,39.0,4.99
10833-1,Duplo,,Nursery School,39.0,19.99
30315-1,City,Space,Space Utility Vehicle,39.0,3.99
71218-1,Dimensions,Fun Pack,Gollum Fun Pack,39.0,14.99
10606-1,Duplo,Doc McStuffins,Backyard Clinic,39.0,29.99
10582-1,Duplo,Forest Animals,Forest: Animals,39.0,19.99
30256-1,Legends of Chima,Promotional,Ice Bear Mech,39.0,3.99
850967-1,Friends,Jungle Rescue,Jungle Accessory Set,39.0,14.99
